event_id,current_time,event_starttimestamp,event_state,outcome_home,outcome_draw,outcome_away,outcome_unexpectedOddsTrend,outcome_startingOdds,event_home_score,event_away_score,event_time
1006103903,2020-01-30T17:56:46Z,2020-01-30T16:31:42Z,STARTED,55/1,8/1,1/16,False,7/25,0,1,66
1006105984,2020-01-30T17:56:46Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T17:56:46Z,2020-01-30T17:30:44Z,STARTED,1/100,19/1,80/1,False,3/10,2,0,26
1006107245,2020-01-30T17:56:46Z,2020-01-30T17:31:05Z,STARTED,Evens,11/4,11/5,False,5/6,1,1,25
1006107510,2020-01-30T17:56:46Z,2020-01-30T17:33:52Z,STARTED,3/4,13/5,3/1,False,9/10,0,0,22
1006042012,2020-01-30T17:56:46Z,2020-01-30T17:34:41Z,STARTED,3/10,17/5,17/2,False,11/10,1,0,22
1006049983,2020-01-30T17:57:14Z,2020-01-30T16:08:06Z,STARTED,23/10,21/50,14/1,True,1/6,1,1,85
1006105979,2020-01-30T17:57:14Z,2020-01-30T16:11:35Z,STARTED,,1000/1,,False,4/11,4,1,88
1006103903,2020-01-30T17:57:14Z,2020-01-30T16:31:42Z,STARTED,55/1,8/1,1/16,False,7/25,0,1,67
1006105984,2020-01-30T17:57:14Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T17:57:14Z,2020-01-30T17:30:44Z,STARTED,1/100,19/1,80/1,False,3/10,2,0,26
1006107245,2020-01-30T17:57:14Z,2020-01-30T17:31:05Z,STARTED,Evens,11/4,11/5,False,5/6,1,1,26
1006107510,2020-01-30T17:57:14Z,2020-01-30T17:33:52Z,STARTED,10/13,5/2,3/1,False,9/10,0,0,23
1006042012,2020-01-30T17:57:14Z,2020-01-30T17:34:41Z,STARTED,3/10,17/5,17/2,False,11/10,1,0,22
1006049983,2020-01-30T17:57:42Z,2020-01-30T16:08:06Z,STARTED,23/10,21/50,14/1,,,1,1,85
1006105979,2020-01-30T17:57:42Z,2020-01-30T16:11:35Z,STARTED,,1000/1,,,,4,1,89
1006103903,2020-01-30T17:57:42Z,2020-01-30T16:31:42Z,STARTED,55/1,8/1,1/16,,,0,1,67
1006105984,2020-01-30T17:57:42Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T17:57:42Z,2020-01-30T17:30:44Z,STARTED,1/100,19/1,80/1,False,3/10,2,0,26
1006107245,2020-01-30T17:57:42Z,2020-01-30T17:31:05Z,STARTED,Evens,11/4,11/5,False,5/6,1,1,26
1006107510,2020-01-30T17:57:42Z,2020-01-30T17:33:52Z,STARTED,10/13,5/2,3/1,False,9/10,0,0,23
1006042012,2020-01-30T17:57:42Z,2020-01-30T17:34:41Z,STARTED,3/10,17/5,17/2,False,11/10,1,0,23
1006049983,2020-01-30T17:58:10Z,2020-01-30T16:08:06Z,STARTED,13/5,7/20,14/1,True,1/6,1,1,86
1006105979,2020-01-30T17:58:10Z,2020-01-30T16:11:35Z,STARTED,,1000/1,,False,4/11,4,1,89
1006103903,2020-01-30T17:58:10Z,2020-01-30T16:31:42Z,STARTED,55/1,8/1,1/16,False,7/25,0,1,68
1006105984,2020-01-30T17:58:10Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T17:58:10Z,2020-01-30T17:30:44Z,STARTED,1/100,19/1,80/1,False,3/10,2,0,27
1006107245,2020-01-30T17:58:10Z,2020-01-30T17:31:05Z,STARTED,Evens,11/4,11/5,False,5/6,1,1,27
1006107510,2020-01-30T17:58:10Z,2020-01-30T17:33:52Z,STARTED,10/13,5/2,3/1,False,9/10,0,0,24
1006042012,2020-01-30T17:58:10Z,2020-01-30T17:34:41Z,STARTED,3/10,17/5,17/2,False,11/10,1,0,23
1006049983,2020-01-30T17:58:37Z,2020-01-30T16:08:06Z,STARTED,11/4,7/20,14/1,True,1/6,1,1,86
1006105979,2020-01-30T17:58:37Z,2020-01-30T16:11:35Z,STARTED,,1000/1,,False,4/11,4,1,89
1006103903,2020-01-30T17:58:37Z,2020-01-30T16:31:42Z,STARTED,55/1,8/1,1/16,False,7/25,0,1,68
1006105984,2020-01-30T17:58:37Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T17:58:37Z,2020-01-30T17:30:44Z,STARTED,1/100,19/1,80/1,False,3/10,2,0,27
1006107245,2020-01-30T17:58:37Z,2020-01-30T17:31:05Z,STARTED,Evens,11/4,11/5,False,5/6,1,1,27
1006107510,2020-01-30T17:58:37Z,2020-01-30T17:33:52Z,STARTED,10/13,5/2,3/1,False,9/10,0,0,24
1006042012,2020-01-30T17:58:37Z,2020-01-30T17:34:41Z,STARTED,3/10,17/5,17/2,False,11/10,1,0,23
1006049983,2020-01-30T17:59:05Z,2020-01-30T16:08:06Z,STARTED,13/5,7/20,13/1,,,1,1,87
1006105979,2020-01-30T17:59:05Z,2020-01-30T16:11:35Z,STARTED,,1000/1,,,,4,1,90
1006103903,2020-01-30T17:59:05Z,2020-01-30T16:31:42Z,STARTED,55/1,8/1,1/16,,,0,1,69
1006105984,2020-01-30T17:59:05Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T17:59:05Z,2020-01-30T17:30:44Z,STARTED,1/100,19/1,80/1,False,3/10,2,0,28
1006107245,2020-01-30T17:59:05Z,2020-01-30T17:31:05Z,STARTED,Evens,11/4,11/5,False,5/6,1,1,28
1006107510,2020-01-30T17:59:05Z,2020-01-30T17:33:52Z,STARTED,10/13,5/2,3/1,False,9/10,0,0,25
1006042012,2020-01-30T17:59:05Z,2020-01-30T17:34:41Z,STARTED,3/10,17/5,17/2,False,11/10,1,0,24
1006049983,2020-01-30T17:59:33Z,2020-01-30T16:08:06Z,STARTED,49/20,4/11,23/2,True,1/6,1,1,87
1006105979,2020-01-30T17:59:33Z,2020-01-30T16:11:35Z,STARTED,,1000/1,,False,4/11,4,1,90
1006103903,2020-01-30T17:59:33Z,2020-01-30T16:31:42Z,STARTED,55/1,8/1,1/16,False,7/25,0,1,69
1006105984,2020-01-30T17:59:33Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T17:59:33Z,2020-01-30T17:30:44Z,STARTED,1/100,19/1,80/1,False,3/10,2,0,28
1006107245,2020-01-30T17:59:33Z,2020-01-30T17:31:05Z,STARTED,Evens,11/4,11/5,False,5/6,1,1,28
1006107510,2020-01-30T17:59:33Z,2020-01-30T17:33:52Z,STARTED,10/13,5/2,3/1,False,9/10,0,0,25
1006042012,2020-01-30T17:59:33Z,2020-01-30T17:34:41Z,STARTED,3/10,17/5,17/2,False,11/10,1,0,24
1006049983,2020-01-30T18:00:00Z,2020-01-30T16:08:06Z,STARTED,13/5,4/11,23/2,,,1,1,87
1006105979,2020-01-30T18:00:00Z,2020-01-30T16:11:35Z,STARTED,,1000/1,,,,4,1,91
1006103903,2020-01-30T18:00:00Z,2020-01-30T16:31:42Z,STARTED,55/1,8/1,1/16,,,0,1,70
1006105984,2020-01-30T18:00:00Z,2020-01-30T17:05:09Z,STARTED,4/1,17/10,10/11,False,2/5,1,1,45
1006063247,2020-01-30T18:00:00Z,2020-01-30T17:30:44Z,STARTED,1/100,19/1,80/1,False,3/10,2,0,29
1006107245,2020-01-30T18:00:00Z,2020-01-30T17:31:05Z,STARTED,Evens,13/5,11/5,False,5/6,1,1,28
1006107510,2020-01-30T18:00:00Z,2020-01-30T17:33:52Z,STARTED,4/5,5/2,3/1,False,9/10,0,0,26
1006042012,2020-01-30T18:00:00Z,2020-01-30T17:34:41Z,STARTED,3/10,17/5,17/2,False,11/10,1,0,25
